iter	Passed	Remaining
0	56	5575
1	56	2774
2	56	1837
3	56	1367
4	57	1086
5	57	899
6	57	765
7	57	665
8	58	586
9	58	524
10	58	473
11	58	430
12	58	394
13	59	364
14	59	337
15	59	313
16	59	292
17	60	274
18	60	257
19	60	242
20	60	228
21	60	216
22	61	204
23	61	194
24	61	184
25	61	175
26	62	167
27	62	160
28	62	152
29	62	146
30	62	139
31	63	133
32	63	128
33	63	123
34	63	118
35	63	113
36	64	109
37	64	104
38	64	100
39	64	97
40	64	93
41	64	89
42	65	86
43	65	83
44	65	80
45	65	77
46	66	74
47	66	71
48	66	69
49	66	66
50	66	64
51	66	61
52	67	59
53	67	57
54	67	55
55	67	53
56	67	51
57	68	49
58	68	47
59	68	45
60	68	43
61	68	42
62	69	40
63	69	39
64	69	37
65	69	35
66	69	34
67	70	32
68	70	31
69	70	30
70	70	28
71	70	27
72	71	26
73	71	25
74	71	23
75	71	22
76	72	21
77	72	20
78	72	19
79	72	18
80	72	17
81	73	16
82	73	15
83	73	14
84	73	13
85	73	12
86	74	11
87	74	10
88	74	9
89	74	8
90	74	7
91	75	6
92	75	5
93	75	4
94	75	3
95	75	3
96	76	2
97	76	1
98	76	0
99	76	0
